"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Netherlands","Greece",5.37917168949772,10192000,5.27783721497029e-07,0.000322804074420442
"Netherlands","Hungary",60.6268353120244,10192000,5.94847285243567e-06,0.00363821617669281
"Netherlands","Ireland",24.5967098934551,10192000,2.41333495814905e-06,0.00147604847535296
"Netherlands","Italy",990.811554642314,10192000,9.72146344821736e-05,0.0594585979558604
"Netherlands","Latvia",7.50073729071537,10192000,7.35943611726391e-07,0.000450119218787448
"Netherlands","Lithuania",8.95717625570776,10192000,8.78843824147151e-07,0.000537520116022638
"Netherlands","Luxembourg",248.723680365297,10192000,2.44038147925134e-05,0.014925907195623
"Netherlands","Malta",2.32852207001522,10192000,2.28465666210285e-07,0.000139734601341386
"Netherlands","North Macedonia",1.1928401826484,10192000,1.1703690960051e-07,7.15823352214443e-05
"Netherlands","Other",6.83288554033486,10192000,6.70416556155304e-07,0.000410041437564632
"Netherlands","Poland",217.908356468798,10192000,2.13803332485084e-05,0.0130766797155266
"Netherlands","Portugal",15.1592112633181,10192000,1.48736374247627e-06,0.000909704215307593
"Netherlands","Romania",599.574388736682,10192000,5.88279423799727e-05,0.0359804569874994
"Netherlands","Serbia",13.897595129376,10192000,1.36357879997802e-06,0.00083399463548767
"Netherlands","Slovakia",72.7230642313546,10192000,7.13530849993668e-06,0.00436411083216658
"Netherlands","Slovenia",124.426974733638,10192000,1.22082981489048e-05,0.00746686232199034
"Netherlands","Spain",4007.37403713851,10192000,0.000393188190457075,0.240482502062654
"Netherlands","Sweden",29.4753704718417,10192000,2.89201044660927e-06,0.00176881687973245
"Netherlands","Switzerland",0.033972602739726,10192000,3.33326165028709e-09,2.0386957725223e-06
"Netherlands","United Kingdom",3.24015068493151,10192000,3.17911173953248e-07,0.000194441431359061
"Poland","Austria",0.000551598173515982,9078250,6.07604079548351e-11,3.64426304273748e-06
"Poland","Croatia",4.3241400304414,9078250,4.76318677106425e-07,0.0285684479412127
"Poland","Cyprus",0.496547945205479,9078250,5.4696438763581e-08,0.00328056076423382
"Poland","Czechia",0.242800608828006,9078250,2.67453098149981e-08,0.00160411931726679
"Poland","Germany",0.070689497716895,9078250,7.78668771149671e-09,0.00046702678944221
"Poland","Greece",0.370860273972603,9078250,4.08515158728392e-08,0.00245017560852873
"Poland","Hungary",1.15358447488584,9078250,1.27071238937664e-07,0.00762142710100981
"Poland","Ireland",0.0332535768645358,9078250,3.66299417448691e-09,0.000219697575200087
"Poland","Italy",14.7498554033486,9078250,1.62474655394471e-06,0.0974483881799647
"Poland","Netherlands",69.8855382039574,9078250,7.69812884685456e-06,0.461715241867315
"Poland","Other",0.738238051750381,9078250,8.13194229890541e-08,0.00487734328703046
"Poland","Romania",13.0530426179604,9078250,1.43783687582523e-06,0.0862379955044073
"Poland","Slovakia",46.0760304414003,9078250,5.07543088606288e-06,0.304412129981024
